addr,time,in_mean_inter_time,in_std_inter_time,in_mad_inter_time,out_mean_inter_time,out_std_inter_time,out_mad_inter_time,tot_mean_inter_time,tot_std_inter_time,tot_mad_inter_time,in_mean_length,in_std_length,in_mad_length,in_count,out_mean_length,out_std_length,out_mad_length,out_count,tot_mean_length,tot_std_length,tot_mad_length,tot_count,in_mean_payload_data_length,in_std_payload_data_length,in_mad_payload_data_length,out_mean_payload_data_length,out_std_payload_data_length,out_mad_payload_data_length,tot_mean_payload_data_length,tot_std_payload_data_length,tot_mad_payload_data_length
8,5.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
7,5.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,10.0,3.564178,0.0,0.0,,,,3.564178,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,10.0,0.034949,0.001349,0.001349,,,,1.184746,1.6260589,0.002698,47.3,3.3,0.0,3.0,59.0,0.0,0.0,1.0,50.2,5.8,3.5,4.0,11.2,3.3,3.0,14.0,0.0,0.0,11.2,3.3,3.0
0,10.0,,,,0.034949,0.001349,0.001349,0.034949,0.001349,0.001349,,,,0.0,47.3,3.3,0.0,3.0,47.3,3.3,0.0,3.0,,,,10.3,3.3,0.0,10.3,3.3,0.0
6,15.0,,,,,,,,,,50.0,0.0,0.0,1.0,,,,0.0,50.0,0.0,0.0,1.0,13.0,0.0,0.0,,,,13.0,0.0,0.0
0,15.0,0.079825,0.039999,0.039999,1.776512,0.143393,0.143393,0.7535044,0.8406213,0.079998,52.3,2.1,2.0,3.0,53.3,4.0,1.0,3.0,52.8,3.2,1.5,6.0,11.8,4.5,0.5,13.7,0.5,0.0,11.8,4.5,0.5
8,15.0,1.52121,0.0,0.0,,,,1.52121,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
3,15.0,,,,1.1229423,1.4755522,0.079998,0.8422068,1.3352429,0.039999,51.0,0.0,0.0,1.0,54.0,3.4,2.5,4.0,53.4,3.3,2.0,5.0,11.6,4.8,1.0,11.0,5.2,1.0,11.6,4.8,1.0
8,20.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
7,20.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
0,20.0,0.0594817,0.047603,0.006305,0.0797445,0.0405715,0.0405715,0.034667,0.0084823,0.005075,50.5,3.6,2.5,4.0,48.7,2.6,1.0,3.0,49.7,3.4,2.0,7.0,10.4,4.3,2.0,11.7,2.6,1.0,10.4,4.3,2.0
8,25.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,25.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
